Tag ID,Tag Type,Field Site,Duration,Depth,Descent_Rate,Ascent_Rate,Descent_Pitch,Ascent_Pitch,Var_Pitch,Bottom_Duration,Surface_Duration,Var_Heading,Var_Roll,ODBA,Wiggliness
ha14_165a,dtag,Jan Mayen,704,44.464061,0.326906248,0.088031286,-0.514814575,-0.039658384,0.031046056,2.646666667,2.32,0.044039316,0.012409768,0.519246067,0.302502705
ha14_165a,dtag,Jan Mayen,268.6,63.116475,0.411296878,0.690628843,-0.320847446,0.593964189,0.092283913,1,2.07,0.450006462,0.044996072,0.593793309,0.355455413
ha14_165a,dtag,Jan Mayen,1282,538.781439,0.635849091,1.519024775,-0.348824034,1.056814818,0.271995355,4.33,3.903333333,0.210202843,0.704674574,0.97188304,0.150424322
ha14_165a,dtag,Jan Mayen,1065.8,553.755998,1.286133926,1.636107967,-0.788517002,1.011053371,0.284434225,6.87,4.113333333,0.280958775,0.646571937,1.412447974,0.084452382
ha14_165a,dtag,Jan Mayen,1139.2,515.838642,1.539387677,1.234163379,-0.984483244,1.129138948,0.321537841,8.316666667,1.926666667,0.146920125,0.5200313,1.32290065,0.085418272
ha14_165a,dtag,Jan Mayen,32.4,12.595026,0.887388981,0.866531532,-0.396854067,0.731784896,0.13122178,0.156666667,1.713333333,0.734759046,0.024133311,1.179238735,0.091887149
ha14_165a,dtag,Jan Mayen,1222.8,737.267472,1.564575082,1.422747587,-0.835900712,0.906404222,0.299694285,6.363333333,4.57,0.416129765,0.658244056,1.7022858,0.144871831
ha14_165a,dtag,Jan Mayen,1333.4,865.630104,1.443779106,1.376974929,-0.812479923,0.800485641,0.300989507,4.823333333,5.546666667,0.372670564,0.617706839,1.437581918,0.072602987
ha14_165a,dtag,Jan Mayen,1314.4,648.91632,1.410899302,1.177031831,-0.86070378,0.838412608,0.309437329,7.583333333,4.846666667,0.255522071,0.557948367,1.77493216,0.063069669
ha14_165a,dtag,Jan Mayen,1163.4,567.671062,0.985361663,1.138774257,-0.578369544,0.92125398,0.294617828,4.17,5.386666667,0.392818247,0.588843014,2.125111203,0.073722904
ha14_165a,dtag,Jan Mayen,1192.4,542.163628,1.334329722,1.03234998,-1.000250178,0.72186915,0.296825815,6.673333333,4.746666667,0.349007411,0.656917278,2.037996619,0.090246206
ha14_165a,dtag,Jan Mayen,1150.4,567.19628,1.630995961,1.001097414,-0.842311796,0.735957714,0.253005132,6.226666667,3.646666667,0.47175998,0.510686973,2.165953214,0.099223772
ha14_165a,dtag,Jan Mayen,1116,745.912354,1.615783228,1.184938924,-0.945018842,0.695325219,0.330817074,3.136666667,NA,0.49076544,0.436835913,2.23224067,0.080733289
ha14_166a,dtag,Jan Mayen,234.2,122.409898,1.482731895,1.095681663,-0.605573125,0.183240602,0.075103325,1.153333333,0.006666667,0.894201626,0.201682519,4.103671541,0.51191572
ha14_166a,dtag,Jan Mayen,139.6,30.958734,0.400368424,0.635230264,-0.661234084,-0.048094798,0.074975683,0.536666667,0.003333333,0.216773453,0.049511136,2.489444946,0.067860184
ha14_166a,dtag,Jan Mayen,736,227.05247,0.998532528,0.470711155,-0.610265569,-0.049571562,0.068031508,2.206666667,0.303333333,0.8418742,0.077836584,1.535306293,0.146447319
ha14_166a,dtag,Jan Mayen,24.4,11.128721,1.270540921,1.038602979,-0.870498328,0.050680999,0.090171871,0.126666667,0.246666667,0.628383949,0.03386525,1.569907436,0.065102095
ha14_166a,dtag,Jan Mayen,240.4,92.684238,0.518287185,1.324712668,-0.495047007,0.24439944,0.142778648,0.476666667,3.023333333,0.792442817,0.163050346,2.878489761,0.079251658
ha14_166a,dtag,Jan Mayen,163.8,65.155697,1.153461058,0.650604439,-1.173017171,-0.048777322,0.159057313,0.503333333,2.19,0.086252397,0.226921607,1.975189042,0.073289082
ha14_166a,dtag,Jan Mayen,2343.6,331.682241,0.639158532,0.205724415,-0.787592955,0.159754151,0.120151026,8.86,2.913333333,0.564792745,0.147109105,1.622000017,0.108694673
ha14_166a,dtag,Jan Mayen,1262.8,188.195471,0.645954694,0.386281996,-0.39139584,0.312134794,0.063313924,10.01,2.726666667,0.404878215,0.077629673,1.247079163,0.157226814
ha14_166a,dtag,Jan Mayen,1451,245.155827,0.874268617,0.320126688,-0.875230135,0.193479875,0.111718174,9.356666667,3.336666667,0.376917538,0.148957744,1.012261446,0.149261547
ha14_166a,dtag,Jan Mayen,1285.4,214.931391,0.69647861,0.577568412,-0.556621305,0.278082214,0.066033104,11.77,2.273333333,0.200774497,0.127512245,1.22525757,0.184039893
